Event	ID	Name			Wwise Object Path	Notes
	100151336	Ambient_Campfire_Stop			\Default Work Unit\3D Emitters\Continuous (looped)\Ambient_Campfire_Stop	
	120976108	Ambient_Torch			\Default Work Unit\3D Emitters\Continuous (looped)\Ambient_Torch	
	746676127	Music_ArcadeMachine_Stop			\Default Work Unit\3D Emitters\Continuous (looped)\Music_ArcadeMachine_Stop	
	2379298625	Door_DLCdoor_Open_Stop			\Default Work Unit\3D Emitters\Continuous (looped)\Door_DLCdoor_Open_Stop	
	2409105241	Music_ArcadeMachine_Play			\Default Work Unit\3D Emitters\Continuous (looped)\Music_ArcadeMachine_Play	
	2453392179	Player_Footstep			\Default Work Unit\Player_Footstep	
	3556635307	Door_DLCdoor_Open_Play			\Default Work Unit\3D Emitters\Continuous (looped)\Door_DLCdoor_Open_Play	
	3664581270	Ambient_Campfire_Play			\Default Work Unit\3D Emitters\Continuous (looped)\Ambient_Campfire_Play	
	3695342915	Player_WeaponImpact			\Default Work Unit\Player_WeaponImpact	
	3741135221	Music_Region			\Default Work Unit\Music_Region	
	4254124015	Destruction_Container			\Default Work Unit\Destruction\Destruction_Container	
	4275106484	Ambient_Lava			\Default Work Unit\3D Emitters\Continuous (looped)\Ambient_Lava	

Switch Group	ID	Name			Wwise Object Path	Notes
	3251833556	Player_Weapon_Type			\Default Work Unit\Player_Weapon_Type	
	4064446173	Surface_Type			\Default Work Unit\Surface_Type	

Switch	ID	Name	Switch Group			Notes
	490825222	PickAxe	Player_Weapon_Type			
	703486095	Hammer	Player_Weapon_Type			
	765201635	Axe	Player_Weapon_Type			
	2454616260	Sword	Player_Weapon_Type			
	3732162827	Dagger	Player_Weapon_Type			
	286660663	Rubble	Surface_Type			
	442447909	Barrel	Surface_Type			
	803837735	Sand	Surface_Type			
	1216965916	Stone	Surface_Type			
	2058049674	Wood	Surface_Type			
	2195636714	Dirt	Surface_Type			
	2654748154	Water	Surface_Type			
	3098439042	Crate	Surface_Type			
	4248645337	Grass	Surface_Type			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2471758783	Player_MovementSpeed			\Default Work Unit\Player_MovementSpeed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1774805	BAS_Crate_Destroy_03	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\Destruction\BAS_Crate_Destroy_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Destruction\Crate_Destroyer\BAS_Crate_Destroy_03		126766
	10463778	BAS_Player_Footstep_dirt_run_05	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Player_Footstep_dirt_run_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Running\Dirt_Footstep\BAS_Player_Footstep_dirt_run_05		23238
	30580679	BAS_Impact_Hammer_SurfaceType_Crate	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Impact_Hammer_SurfaceType_Crate_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player_WeaponImpact\Hammer_WeaponImpact\BAS_Impact_Hammer_SurfaceType_Crate		46976
	31273145	BAS_Player_Footstep_grass_run_03	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Player_Footstep_grass_run_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Running\Grass_Footstep\BAS_Player_Footstep_grass_run_03		26464
	35542052	BAS_Player_Footstep_stone_run_01	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Player_Footstep_stone_run_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Running\Stone_Footstep\BAS_Player_Footstep_stone_run_01		26724
	39075772	BAS_Player_Footstep_water_walk_05	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Player_Footstep_water_walk_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footsteep\Water_Footstep\BAS_Player_Footstep_water_walk_05		47378
	50862689	BAS_Player_Footstep_grass_walk_01	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Player_Footstep_grass_walk_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footsteep\Grass_Footstep\BAS_Player_Footstep_grass_walk_01		47188
	52592087	BAS_Player_Footstep_water_walk_06	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Player_Footstep_water_walk_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footsteep\Water_Footstep\BAS_Player_Footstep_water_walk_06		47000
	77933399	BAS_Player_Footstep_grass_run_04	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Player_Footstep_grass_run_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Running\Grass_Footstep\BAS_Player_Footstep_grass_run_04		26088
	80286847	BAS_Player_Footstep_sand_walk_06	D:\CITM\4th\audio\Wise31\Wise Project\Wise Game Sonorization\.cache\Windows\SFX\BAS_Player_Footstep_sand_walk_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Player_Footsteep\Sand_Footstep\BAS_Player_Footstep_sand_walk_06		23654
